Production_ID,Production_Date,Shift,Product_ID,Product_Name,Product_Category,Machine_ID,Operator_ID,Planned_Qty,Produced_Qty,Good_Qty,Rejected_Qty,Production_Hours,Downtime_Hours,Raw_Material_Used_Kg,Wastage_Kg,Defect_Type,Production_Efficiency_%,Defect_Rate_%,Production_Status,Batch_Quality,Product_Quality_Level,Product_Quality_Score,Year,Month,Month_Name,Month_Year
P001706,2023-12-29,Morning,NP001,Plastic Bucket,Household Utility,M003,E011,180,163,155,8,6.56,1.09,200.08,21.62,Dimensional Defect,90.56,4.91,Completed,Medium,High,52.232,2023,12,December,2023-12
P001707,2025-08-18,Evening,NP001,Plastic Bucket,Household Utility,M006,E015,1596,1599,1494,105,6.51,1.39,1861.4,13.75,Shape Defect,100.19,6.57,Completed,Medium,High,52.232,2025,8,August,2025-08
P001708,2023-08-15,Evening,NP004,Storage Box,Storage,M006,E004,350,328,326,2,6.88,0.8,530.16,30.73,Crack,93.71,0.61,Completed,Medium,Low,22.264,2023,8,August,2023-08
P001709,2023-07-14,Evening,NP005,Plastic Dustbin,Household Utility,M006,E006,719,650,623,27,6.51,1.36,1208.98,21.88,None,90.4,4.15,Completed,Medium,Low,33.044,2023,7,July,2023-07
P001710,2023-01-16,Evening,NP001,Plastic Bucket,Household Utility,M005,E018,1627,1665,1619,46,6.12,1.05,2096.46,18.05,None,102.34,2.76,Completed,High,High,52.232,2023,1,January,2023-01
P001711,2022-03-07,Morning,NP001,Plastic Bucket,Household Utility,M005,E018,582,535,511,24,6.27,0.42,624.38,35.57,None,91.92,4.49,Completed,Medium,High,52.232,2022,3,March,2022-03
P001712,2021-06-08,Morning,NP001,Plastic Bucket,Household Utility,M006,E026,817,728,704,24,6.79,0.21,876.71,33.49,Dimensional Defect,89.11,3.3,Completed,Low,High,52.232,2021,6,June,2021-06
P001713,2023-06-25,Evening,NP005,Plastic Dustbin,Household Utility,M003,E007,815,736,715,21,7.3,0.95,1365.51,8.74,Surface Defect,90.31,2.85,Completed,Medium,Low,33.044,2023,6,June,2023-06
P001714,2025-11-16,Morning,NP003,Plastic Chair,Furniture,M001,E025,238,222,216,6,6.58,1.47,646.85,34.93,Surface Defect,93.28,2.7,Completed,Medium,Medium,46.592,2025,11,November,2025-11
P001715,2022-03-11,Night,NP003,Plastic Chair,Furniture,M003,E015,698,685,631,54,6.79,1.05,1858.29,2.89,None,98.14,7.88,Completed,Low,Medium,46.592,2022,3,March,2022-03
P001716,2023-03-24,Morning,NP002,Plastic Mug,Household Utility,M003,E008,797,739,696,43,6.49,0.5,185.34,10.47,Deformed Product,92.72,5.82,Completed,Medium,Medium,47.322,2023,3,March,2023-03
P001717,2022-09-01,Morning,NP002,Plastic Mug,Household Utility,M001,E008,189,169,161,8,7.11,1.1,43.36,8.27,None,89.42,4.73,Completed,Low,Medium,47.322,2022,9,September,2022-09
P001718,2023-09-09,Morning,NP005,Plastic Dustbin,Household Utility,M004,E010,642,567,547,20,5.94,1.56,1004.08,16.1,Surface Defect,88.32,3.53,Completed,Low,Low,33.044,2023,9,September,2023-09
P001719,2025-11-24,Evening,NP001,Plastic Bucket,Household Utility,M002,E028,527,543,538,5,6.7,1.07,633.47,4.85,Colour Defect,103.04,0.92,Completed,High,High,52.232,2025,11,November,2025-11
P001720,2023-11-12,Morning,NP001,Plastic Bucket,Household Utility,M006,E011,1213,1159,1123,36,7.1,1.12,1362.13,25.97,None,95.55,3.11,Completed,Medium,High,52.232,2023,11,November,2023-11
P001721,2021-03-15,Evening,NP002,Plastic Mug,Household Utility,M005,E007,1196,1121,1029,92,5.99,0.45,266.16,21.05,Shape Defect,93.73,8.21,Review,Low,Medium,47.322,2021,3,March,2021-03
P001722,2021-08-02,Night,NP006,Kitchen Container,Kitchen Product,M006,E020,1125,1124,1101,23,6.06,1.27,677.03,12.32,Surface Defect,99.91,2.05,Completed,High,High,96.056,2021,8,August,2021-08
P001723,2026-03-19,Morning,NP002,Plastic Mug,Household Utility,M006,E018,1407,1229,1187,42,5.99,1.31,326.77,37.75,Surface Defect,87.35,3.42,Completed,Low,Medium,47.322,2026,3,March,2026-03
P001724,2023-05-02,Night,NP001,Plastic Bucket,Household Utility,M003,E028,156,137,130,7,5.54,0.95,161.18,31.55,Colour Defect,87.82,5.11,Completed,Low,High,52.232,2023,5,May,2023-05
P001725,2021-01-04,Morning,NP001,Plastic Bucket,Household Utility,M006,E003,1138,1105,1082,23,5.54,1.0,1290.25,28.85,Dimensional Defect,97.1,2.08,Completed,High,High,52.232,2021,1,January,2021-01
P001726,2022-01-09,Morning,NP003,Plastic Chair,Furniture,M006,E020,1288,1098,1004,94,6.08,0.42,3013.24,10.69,None,85.25,8.56,Review,Low,Medium,46.592,2022,1,January,2022-01
P001727,2025-12-29,Morning,NP001,Plastic Bucket,Household Utility,M002,E005,639,624,601,23,6.06,1.39,756.26,21.88,None,97.65,3.69,Completed,Medium,High,52.232,2025,12,December,2025-12
P001728,2024-07-27,Morning,NP003,Plastic Chair,Furniture,M006,E017,1720,1588,1536,52,6.92,0.54,4543.97,22.5,Surface Defect,92.33,3.27,Completed,Medium,Medium,46.592,2024,7,July,2024-07
P001729,2024-08-17,Evening,NP006,Kitchen Container,Kitchen Product,M001,E022,1210,1219,1180,39,5.79,1.07,695.4,34.0,Colour Defect,100.74,3.2,Completed,Medium,High,96.056,2024,8,August,2024-08
P001730,2024-09-10,Night,NP004,Storage Box,Storage,M004,E014,456,427,407,20,5.88,0.2,631.43,15.03,None,93.64,4.68,Completed,Medium,Low,22.264,2024,9,September,2024-09
P001731,2024-01-15,Morning,NP002,Plastic Mug,Household Utility,M006,E027,1655,1352,1222,130,6.13,0.93,328.75,4.35,Deformed Product,81.69,9.62,Review,Low,Medium,47.322,2024,1,January,2024-01
P001732,2026-06-01,Night,NP001,Plastic Bucket,Household Utility,M001,E011,1715,1400,1232,168,7.73,0.45,1764.61,6.23,Surface Defect,81.63,12.0,Review,Low,High,52.232,2026,6,June,2026-06
P001733,2023-09-04,Evening,NP003,Plastic Chair,Furniture,M006,E029,309,291,269,22,7.7,1.59,897.19,34.59,Shape Defect,94.17,7.56,Completed,Low,Medium,46.592,2023,9,September,2023-09
P001734,2023-04-30,Morning,NP005,Plastic Dustbin,Household Utility,M003,E006,1107,1009,973,36,7.18,1.26,1982.92,16.43,Surface Defect,91.15,3.57,Completed,Medium,Low,33.044,2023,4,April,2023-04
P001735,2023-05-25,Morning,NP006,Kitchen Container,Kitchen Product,M002,E018,823,672,658,14,7.3,1.34,381.16,9.53,Deformed Product,81.65,2.08,Completed,Low,High,96.056,2023,5,May,2023-05
P001736,2023-10-18,Evening,NP001,Plastic Bucket,Household Utility,M001,E024,1212,1156,1104,52,6.14,1.14,1418.35,8.42,Crack,95.38,4.5,Completed,Medium,High,52.232,2023,10,October,2023-10
P001737,2026-07-30,Morning,NP004,Storage Box,Storage,M003,E021,823,781,747,34,7.91,0.93,1262.14,36.59,Surface Defect,94.9,4.35,Completed,Medium,Low,22.264,2026,7,July,2026-07
P001738,2026-03-14,Evening,NP005,Plastic Dustbin,Household Utility,M002,E015,733,692,643,49,6.25,1.31,1290.58,25.85,Colour Defect,94.41,7.08,Completed,Low,Low,33.044,2026,3,March,2026-03
P001739,2024-08-17,Evening,NP003,Plastic Chair,Furniture,M005,E026,940,841,784,57,6.52,0.85,2363.06,25.9,None,89.47,6.78,Completed,Low,Medium,46.592,2024,8,August,2024-08
P001740,2021-07-31,Night,NP003,Plastic Chair,Furniture,M002,E015,1451,1299,1187,112,5.51,0.31,3632.91,28.75,Colour Defect,89.52,8.62,Review,Low,Medium,46.592,2021,7,July,2021-07
P001741,2023-01-27,Night,NP002,Plastic Mug,Household Utility,M006,E015,658,678,667,11,7.79,0.99,176.04,16.16,Colour Defect,103.04,1.62,Completed,High,Medium,47.322,2023,1,January,2023-01
P001742,2024-02-12,Morning,NP005,Plastic Dustbin,Household Utility,M005,E005,801,790,774,16,6.87,0.81,1545.76,33.35,None,98.63,2.03,Completed,High,Low,33.044,2024,2,February,2024-02
P001743,2025-08-09,Night,NP005,Plastic Dustbin,Household Utility,M006,E018,215,202,196,6,6.79,0.46,394.97,35.27,None,93.95,2.97,Completed,Medium,Low,33.044,2025,8,August,2025-08
P001744,2025-04-05,Night,NP006,Kitchen Container,Kitchen Product,M006,E012,782,745,731,14,5.9,0.03,416.61,18.0,Shape Defect,95.27,1.88,Completed,High,High,96.056,2025,4,April,2025-04
P001745,2022-10-19,Morning,NP005,Plastic Dustbin,Household Utility,M006,E017,1712,1606,1422,184,6.87,0.34,2885.63,1.64,None,93.81,11.46,Review,Low,Low,33.044,2022,10,October,2022-10
P001746,2023-05-27,Morning,NP004,Storage Box,Storage,M002,E002,347,350,317,33,7.76,0.3,590.72,18.14,None,100.86,9.43,Review,Low,Low,22.264,2023,5,May,2023-05
P001747,2023-11-06,Night,NP003,Plastic Chair,Furniture,M003,E003,626,593,570,23,6.96,0.1,1727.0,20.38,None,94.73,3.88,Completed,Medium,Medium,46.592,2023,11,November,2023-11
P001748,2021-11-18,Morning,NP005,Plastic Dustbin,Household Utility,M005,E022,374,345,338,7,7.88,0.5,687.35,5.47,None,92.25,2.03,Completed,Medium,Low,33.044,2021,11,November,2021-11
P001749,2024-03-20,Night,NP006,Kitchen Container,Kitchen Product,M001,E002,172,171,157,14,7.51,0.91,90.85,12.38,None,99.42,8.19,Review,Low,High,96.056,2024,3,March,2024-03
P001750,2023-09-16,Evening,NP004,Storage Box,Storage,M001,E019,1361,1338,1287,51,7.3,0.42,2102.89,19.2,Surface Defect,98.31,3.81,Completed,Medium,Low,22.264,2023,9,September,2023-09
P001751,2022-08-06,Evening,NP004,Storage Box,Storage,M004,E019,747,709,690,19,6.12,0.58,1168.79,28.26,Surface Defect,94.91,2.68,Completed,Medium,Low,22.264,2022,8,August,2022-08
P001752,2025-05-25,Evening,NP004,Storage Box,Storage,M002,E028,578,560,504,56,6.76,1.49,850.76,21.62,None,96.89,10.0,Review,Low,Low,22.264,2025,5,May,2025-05
P001753,2022-05-16,Night,NP003,Plastic Chair,Furniture,M001,E022,415,404,393,11,7.89,1.51,1084.69,22.12,None,97.35,2.72,Completed,High,Medium,46.592,2022,5,May,2022-05
P001754,2023-10-21,Night,NP002,Plastic Mug,Household Utility,M002,E028,425,433,405,28,6.69,0.66,110.99,37.53,None,101.88,6.47,Completed,Medium,Medium,47.322,2023,10,October,2023-10
P001755,2021-11-14,Morning,NP003,Plastic Chair,Furniture,M004,E013,1306,1279,1144,135,6.52,1.21,3385.35,38.09,Colour Defect,97.93,10.56,Review,Low,Medium,46.592,2021,11,November,2021-11
P001756,2023-09-08,Evening,NP005,Plastic Dustbin,Household Utility,M004,E004,1300,1098,1085,13,6.87,0.45,1998.46,33.73,Surface Defect,84.46,1.18,Completed,Low,Low,33.044,2023,9,September,2023-09
P001757,2024-04-23,Evening,NP004,Storage Box,Storage,M004,E010,1492,1435,1365,70,7.51,1.25,2266.03,8.85,None,96.18,4.88,Completed,Medium,Low,22.264,2024,4,April,2024-04
P001758,2023-11-27,Evening,NP001,Plastic Bucket,Household Utility,M005,E018,1766,1819,1781,38,7.86,0.77,2208.78,21.6,Shape Defect,103.0,2.09,Completed,High,High,52.232,2023,11,November,2023-11
P001759,2025-06-27,Morning,NP001,Plastic Bucket,Household Utility,M005,E024,1550,1596,1588,8,6.5,0.07,1847.02,38.5,Shape Defect,102.97,0.5,Completed,High,High,52.232,2025,6,June,2025-06
P001760,2023-11-22,Evening,NP005,Plastic Dustbin,Household Utility,M001,E018,1315,1210,1177,33,7.65,0.0,2329.44,18.74,Colour Defect,92.02,2.73,Completed,Medium,Low,33.044,2023,11,November,2023-11
P001761,2023-12-18,Evening,NP005,Plastic Dustbin,Household Utility,M002,E027,202,192,180,12,6.39,0.93,374.17,1.6,Shape Defect,95.05,6.25,Completed,Medium,Low,33.044,2023,12,December,2023-12
P001762,2023-06-11,Morning,NP002,Plastic Mug,Household Utility,M003,E020,1391,1353,1309,44,6.89,0.22,340.55,34.0,None,97.27,3.25,Completed,Medium,Medium,47.322,2023,6,June,2023-06
P001763,2022-04-06,Night,NP004,Storage Box,Storage,M005,E001,1446,1284,1168,116,7.24,1.08,2019.22,16.66,Crack,88.8,9.03,Review,Low,Low,22.264,2022,4,April,2022-04
P001764,2023-10-13,Evening,NP002,Plastic Mug,Household Utility,M005,E004,1409,1210,1201,9,5.91,0.83,307.57,10.22,Shape Defect,85.88,0.74,Completed,Low,Medium,47.322,2023,10,October,2023-10
P001765,2026-08-08,Morning,NP002,Plastic Mug,Household Utility,M002,E018,643,632,603,29,5.79,0.95,156.66,32.29,Colour Defect,98.29,4.59,Completed,Medium,Medium,47.322,2026,8,August,2026-08
P001766,2023-04-01,Morning,NP003,Plastic Chair,Furniture,M002,E027,1489,1343,1304,39,7.78,0.48,3950.86,25.78,Shape Defect,90.19,2.9,Completed,Medium,Medium,46.592,2023,4,April,2023-04
P001767,2025-04-08,Evening,NP002,Plastic Mug,Household Utility,M006,E027,1501,1524,1496,28,6.39,1.36,395.81,24.67,Deformed Product,101.53,1.84,Completed,High,Medium,47.322,2025,4,April,2025-04
P001768,2021-06-28,Morning,NP005,Plastic Dustbin,Household Utility,M005,E026,1080,1008,936,72,6.33,0.01,1870.49,10.51,Crack,93.33,7.14,Completed,Low,Low,33.044,2021,6,June,2021-06
P001769,2021-08-30,Night,NP004,Storage Box,Storage,M002,E019,1469,1462,1357,105,6.51,0.51,2373.54,32.24,Shape Defect,99.52,7.18,Completed,Low,Low,22.264,2021,8,August,2021-08
P001770,2023-03-13,Morning,NP006,Kitchen Container,Kitchen Product,M004,E021,1232,1196,1158,38,6.58,0.98,651.52,22.79,Deformed Product,97.08,3.18,Completed,Medium,High,96.056,2023,3,March,2023-03
P001771,2025-07-28,Morning,NP006,Kitchen Container,Kitchen Product,M003,E016,1051,986,888,98,6.53,1.11,524.3,25.65,Deformed Product,93.82,9.94,Review,Low,High,96.056,2025,7,July,2025-07
P001772,2023-01-24,Night,NP006,Kitchen Container,Kitchen Product,M006,E017,600,590,580,10,5.79,1.51,340.45,25.31,Colour Defect,98.33,1.69,Completed,High,High,96.056,2023,1,January,2023-01
P001773,2024-08-21,Morning,NP001,Plastic Bucket,Household Utility,M004,E017,719,666,601,65,6.2,0.11,793.44,21.81,Shape Defect,92.63,9.76,Review,Low,High,52.232,2024,8,August,2024-08
P001774,2021-10-16,Evening,NP004,Storage Box,Storage,M005,E029,394,384,370,14,6.37,0.54,616.79,17.43,None,97.46,3.65,Completed,Medium,Low,22.264,2021,10,October,2021-10
P001775,2025-10-06,Evening,NP002,Plastic Mug,Household Utility,M006,E004,813,734,716,18,7.07,1.6,194.22,22.39,Deformed Product,90.28,2.45,Completed,Medium,Medium,47.322,2025,10,October,2025-10
P001776,2021-03-10,Evening,NP004,Storage Box,Storage,M001,E008,1108,1104,1071,33,6.1,0.97,1672.28,11.42,Surface Defect,99.64,2.99,Completed,High,Low,22.264,2021,3,March,2021-03
P001777,2023-04-02,Evening,NP005,Plastic Dustbin,Household Utility,M005,E023,1030,940,902,38,6.39,0.72,1835.54,19.07,None,91.26,4.04,Completed,Medium,Low,33.044,2023,4,April,2023-04
P001778,2023-03-10,Evening,NP003,Plastic Chair,Furniture,M005,E005,786,749,734,15,7.04,1.47,2175.84,24.29,Crack,95.29,2.0,Completed,High,Medium,46.592,2023,3,March,2023-03
P001779,2023-07-20,Morning,NP005,Plastic Dustbin,Household Utility,M006,E019,913,814,756,58,5.81,1.14,1509.79,37.87,Shape Defect,89.16,7.13,Completed,Low,Low,33.044,2023,7,July,2023-07
P001780,2021-05-07,Evening,NP001,Plastic Bucket,Household Utility,M001,E019,173,154,153,1,6.43,1.39,180.27,37.95,Shape Defect,89.02,0.65,Completed,Low,High,52.232,2021,5,May,2021-05
P001781,2023-09-19,Morning,NP001,Plastic Bucket,Household Utility,M003,E021,216,172,151,21,6.26,1.44,202.86,20.73,None,79.63,12.21,Review,Low,High,52.232,2023,9,September,2023-09
P001782,2024-11-27,Morning,NP006,Kitchen Container,Kitchen Product,M005,E020,1084,942,844,98,7.92,0.01,492.51,13.01,Surface Defect,86.9,10.4,Review,Low,High,96.056,2024,11,November,2024-11
P001783,2023-07-20,Night,NP005,Plastic Dustbin,Household Utility,M006,E013,249,239,229,10,6.13,0.17,474.98,17.17,None,95.98,4.18,Completed,Medium,Low,33.044,2023,7,July,2023-07
P001784,2024-11-30,Morning,NP006,Kitchen Container,Kitchen Product,M003,E024,1100,1044,994,50,7.49,0.77,552.11,29.66,Shape Defect,94.91,4.79,Completed,Medium,High,96.056,2024,11,November,2024-11
P001785,2023-04-05,Evening,NP004,Storage Box,Storage,M006,E001,422,391,381,10,7.37,0.87,601.59,21.2,Shape Defect,92.65,2.56,Completed,Medium,Low,22.264,2023,4,April,2023-04
P001786,2025-04-23,Evening,NP004,Storage Box,Storage,M002,E009,365,345,326,19,6.94,1.22,532.84,19.52,Colour Defect,94.52,5.51,Completed,Medium,Low,22.264,2025,4,April,2025-04
P001787,2023-06-09,Morning,NP001,Plastic Bucket,Household Utility,M006,E002,1268,1200,1168,32,7.15,0.15,1450.45,26.81,None,94.64,2.67,Completed,Medium,High,52.232,2023,6,June,2023-06
P001788,2023-03-22,Morning,NP004,Storage Box,Storage,M004,E028,1457,1390,1271,119,7.8,1.28,2270.7,1.06,Shape Defect,95.4,8.56,Review,Low,Low,22.264,2023,3,March,2023-03
P001789,2025-03-31,Night,NP002,Plastic Mug,Household Utility,M001,E017,607,552,544,8,7.03,1.18,135.64,23.09,Surface Defect,90.94,1.45,Completed,Medium,Medium,47.322,2025,3,March,2025-03
P001790,2025-04-16,Evening,NP002,Plastic Mug,Household Utility,M001,E007,1588,1570,1518,52,6.52,0.63,398.92,32.83,Crack,98.87,3.31,Completed,Medium,Medium,47.322,2025,4,April,2025-04
P001791,2022-08-19,Morning,NP004,Storage Box,Storage,M001,E004,307,278,270,8,7.54,1.31,443.72,8.9,Shape Defect,90.55,2.88,Completed,Medium,Low,22.264,2022,8,August,2022-08
P001792,2022-12-20,Night,NP003,Plastic Chair,Furniture,M006,E003,1097,982,925,57,5.51,0.56,2725.45,39.01,Surface Defect,89.52,5.8,Completed,Low,Medium,46.592,2022,12,December,2022-12
P001793,2022-04-09,Morning,NP004,Storage Box,Storage,M002,E027,674,668,660,8,5.56,1.02,1056.11,17.6,Surface Defect,99.11,1.2,Completed,High,Low,22.264,2022,4,April,2022-04
P001794,2022-08-24,Evening,NP004,Storage Box,Storage,M005,E025,371,344,338,6,7.21,1.25,546.29,17.89,None,92.72,1.74,Completed,Medium,Low,22.264,2022,8,August,2022-08
P001795,2021-05-09,Night,NP003,Plastic Chair,Furniture,M004,E018,1078,1030,968,62,6.75,0.48,2813.58,6.54,None,95.55,6.02,Completed,Medium,Medium,46.592,2021,5,May,2021-05
P001796,2021-11-12,Evening,NP002,Plastic Mug,Household Utility,M001,E004,1345,1369,1316,53,7.87,0.77,344.69,11.09,Surface Defect,101.78,3.87,Completed,Medium,Medium,47.322,2021,11,November,2021-11
P001797,2021-10-20,Morning,NP004,Storage Box,Storage,M004,E019,207,184,179,5,5.74,0.33,301.95,35.97,None,88.89,2.72,Completed,Low,Low,22.264,2021,10,October,2021-10
P001798,2023-11-30,Evening,NP006,Kitchen Container,Kitchen Product,M005,E020,820,796,739,57,5.8,0.5,435.24,8.87,Deformed Product,97.07,7.16,Completed,Low,High,96.056,2023,11,November,2023-11
P001799,2024-02-14,Evening,NP001,Plastic Bucket,Household Utility,M001,E007,1769,1664,1619,45,5.59,0.88,2160.1,39.97,None,94.06,2.7,Completed,Medium,High,52.232,2024,2,February,2024-02
P001800,2025-07-22,Morning,NP003,Plastic Chair,Furniture,M006,E028,1196,1169,1055,114,6.47,0.3,3191.7,24.2,Crack,97.74,9.75,Review,Low,Medium,46.592,2025,7,July,2025-07
P001801,2022-09-19,Morning,NP001,Plastic Bucket,Household Utility,M001,E022,1705,1562,1469,93,7.87,1.3,1864.58,1.87,Crack,91.61,5.95,Completed,Medium,High,52.232,2022,9,September,2022-09
P001802,2021-03-09,Morning,NP002,Plastic Mug,Household Utility,M003,E023,936,897,868,29,7.71,1.59,223.71,29.57,Colour Defect,95.83,3.23,Completed,Medium,Medium,47.322,2021,3,March,2021-03
P001803,2025-10-26,Morning,NP003,Plastic Chair,Furniture,M005,E025,621,579,576,3,5.74,0.77,1578.68,33.02,None,93.24,0.52,Completed,Medium,Medium,46.592,2025,10,October,2025-10
P001804,2021-11-01,Morning,NP002,Plastic Mug,Household Utility,M001,E003,1558,1438,1282,156,7.85,0.67,375.25,27.49,Deformed Product,92.3,10.85,Review,Low,Medium,47.322,2021,11,November,2021-11
P001805,2024-09-26,Evening,NP003,Plastic Chair,Furniture,M001,E016,1263,1266,1207,59,7.47,0.07,3670.71,37.09,Surface Defect,100.24,4.66,Completed,Medium,Medium,46.592,2024,9,September,2024-09
P001806,2022-06-25,Night,NP006,Kitchen Container,Kitchen Product,M006,E023,285,272,265,7,6.19,0.84,146.58,38.58,Surface Defect,95.44,2.57,Completed,High,High,96.056,2022,6,June,2022-06
P001807,2023-01-28,Evening,NP001,Plastic Bucket,Household Utility,M003,E014,203,175,168,7,7.88,0.43,210.78,25.53,Shape Defect,86.21,4.0,Completed,Low,High,52.232,2023,1,January,2023-01
P001808,2024-11-27,Morning,NP003,Plastic Chair,Furniture,M006,E012,774,712,694,18,7.69,0.76,1888.64,1.61,Crack,91.99,2.53,Completed,Medium,Medium,46.592,2024,11,November,2024-11
P001809,2023-04-01,Evening,NP001,Plastic Bucket,Household Utility,M004,E011,207,203,195,8,7.86,0.27,243.23,10.98,Surface Defect,98.07,3.94,Completed,Medium,High,52.232,2023,4,April,2023-04
P001810,2025-08-14,Evening,NP005,Plastic Dustbin,Household Utility,M005,E030,1276,1159,1134,25,7.41,0.25,2264.39,26.63,Shape Defect,90.83,2.16,Completed,Medium,Low,33.044,2025,8,August,2025-08
P001811,2023-05-11,Morning,NP001,Plastic Bucket,Household Utility,M004,E020,1717,1545,1508,37,6.87,1.41,1888.02,25.16,Shape Defect,89.98,2.39,Completed,Low,High,52.232,2023,5,May,2023-05
P001812,2025-05-20,Night,NP003,Plastic Chair,Furniture,M005,E019,1675,1491,1473,18,7.75,0.43,4301.48,38.53,None,89.01,1.21,Completed,Low,Medium,46.592,2025,5,May,2025-05
P001813,2023-05-21,Evening,NP006,Kitchen Container,Kitchen Product,M003,E001,1741,1526,1482,44,6.05,1.6,835.41,12.51,Surface Defect,87.65,2.88,Completed,Low,High,96.056,2023,5,May,2023-05
P001814,2025-08-10,Morning,NP006,Kitchen Container,Kitchen Product,M003,E014,335,293,291,2,6.15,1.18,159.36,31.26,None,87.46,0.68,Completed,Low,High,96.056,2025,8,August,2025-08
P001815,2022-10-20,Evening,NP006,Kitchen Container,Kitchen Product,M003,E017,1561,1406,1284,122,7.37,0.02,819.23,2.92,Deformed Product,90.07,8.68,Review,Low,High,96.056,2022,10,October,2022-10
P001816,2023-01-05,Morning,NP004,Storage Box,Storage,M002,E029,729,618,599,19,5.73,1.04,1038.62,34.46,None,84.77,3.07,Completed,Low,Low,22.264,2023,1,January,2023-01
P001817,2022-01-20,Evening,NP006,Kitchen Container,Kitchen Product,M006,E023,1622,1408,1296,112,7.34,1.2,733.94,9.09,None,86.81,7.95,Completed,Low,High,96.056,2022,1,January,2022-01
P001818,2024-04-17,Night,NP002,Plastic Mug,Household Utility,M001,E008,274,276,261,15,5.98,0.33,68.01,13.7,Shape Defect,100.73,5.43,Completed,Medium,Medium,47.322,2024,4,April,2024-04
P001819,2021-11-25,Evening,NP005,Plastic Dustbin,Household Utility,M005,E019,1751,1385,1323,62,6.85,0.48,2638.38,2.74,None,79.1,4.48,Completed,Low,Low,33.044,2021,11,November,2021-11
P001820,2022-08-23,Night,NP006,Kitchen Container,Kitchen Product,M001,E009,793,754,719,35,5.68,1.22,440.68,11.11,Crack,95.08,4.64,Completed,Medium,High,96.056,2022,8,August,2022-08
P001821,2022-05-17,Morning,NP005,Plastic Dustbin,Household Utility,M002,E022,618,552,540,12,7.97,0.53,1016.43,17.75,Crack,89.32,2.17,Completed,Low,Low,33.044,2022,5,May,2022-05
P001822,2026-05-19,Morning,NP001,Plastic Bucket,Household Utility,M006,E018,677,631,594,37,5.52,0.02,779.06,14.05,None,93.21,5.86,Completed,Medium,High,52.232,2026,5,May,2026-05
P001823,2025-10-24,Evening,NP005,Plastic Dustbin,Household Utility,M001,E023,1339,1379,1319,60,7.8,1.29,2675.0,3.51,None,102.99,4.35,Completed,Medium,Low,33.044,2025,10,October,2025-10
P001824,2026-07-24,Morning,NP003,Plastic Chair,Furniture,M006,E025,1345,1255,1191,64,7.4,0.24,3637.86,17.55,Surface Defect,93.31,5.1,Completed,Medium,Medium,46.592,2026,7,July,2026-07
P001825,2026-07-06,Morning,NP002,Plastic Mug,Household Utility,M002,E009,708,661,634,27,7.42,0.53,163.42,34.15,Colour Defect,93.36,4.08,Completed,Medium,Medium,47.322,2026,7,July,2026-07
P001826,2025-07-22,Evening,NP005,Plastic Dustbin,Household Utility,M006,E004,225,193,175,18,8.0,0.66,357.98,27.33,Colour Defect,85.78,9.33,Review,Low,Low,33.044,2025,7,July,2025-07
P001827,2026-04-17,Morning,NP001,Plastic Bucket,Household Utility,M002,E011,1304,1176,1127,49,6.8,0.36,1414.59,10.71,None,90.18,4.17,Completed,Medium,High,52.232,2026,4,April,2026-04
P001828,2021-02-25,Morning,NP002,Plastic Mug,Household Utility,M005,E015,581,565,548,17,7.39,0.92,138.96,23.91,None,97.25,3.01,Completed,Medium,Medium,47.322,2021,2,February,2021-02
P001829,2025-03-31,Evening,NP005,Plastic Dustbin,Household Utility,M004,E021,413,394,388,6,6.38,1.12,731.48,20.29,Surface Defect,95.4,1.52,Completed,High,Low,33.044,2025,3,March,2025-03
P001830,2024-08-01,Night,NP002,Plastic Mug,Household Utility,M001,E024,725,688,619,69,6.23,1.26,170.18,14.78,None,94.9,10.03,Review,Low,Medium,47.322,2024,8,August,2024-08
P001831,2024-10-08,Morning,NP003,Plastic Chair,Furniture,M002,E022,352,351,332,19,6.06,0.94,968.18,25.35,None,99.72,5.41,Completed,Medium,Medium,46.592,2024,10,October,2024-10
P001832,2024-02-15,Evening,NP005,Plastic Dustbin,Household Utility,M004,E009,457,467,435,32,5.63,0.69,878.33,28.4,Shape Defect,102.19,6.85,Completed,Medium,Low,33.044,2024,2,February,2024-02
P001833,2024-07-11,Morning,NP001,Plastic Bucket,Household Utility,M003,E021,625,551,526,25,7.53,1.48,634.69,39.76,Surface Defect,88.16,4.54,Completed,Low,High,52.232,2024,7,July,2024-07
P001834,2025-04-08,Morning,NP002,Plastic Mug,Household Utility,M004,E026,818,754,750,4,7.46,0.6,190.03,2.93,Surface Defect,92.18,0.53,Completed,Medium,Medium,47.322,2025,4,April,2025-04
P001835,2021-05-28,Evening,NP006,Kitchen Container,Kitchen Product,M004,E010,429,442,432,10,5.96,0.82,252.83,6.97,Deformed Product,103.03,2.26,Completed,High,High,96.056,2021,5,May,2021-05
P001836,2025-06-19,Evening,NP006,Kitchen Container,Kitchen Product,M004,E029,256,251,233,18,6.85,0.42,132.19,9.94,Dimensional Defect,98.05,7.17,Completed,Low,High,96.056,2025,6,June,2025-06
P001837,2021-07-18,Evening,NP002,Plastic Mug,Household Utility,M006,E019,1649,1635,1439,196,6.09,0.98,380.17,38.88,Colour Defect,99.15,11.99,Review,Low,Medium,47.322,2021,7,July,2021-07
